MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Olfr907	NA	0.5	0.5	NA	0.5	0.5	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	0.75	NA	NA	0.25	NA	NA	0.5	NA	0.25	1	1	1	1	NA	0	NA	0.5	NA	1	NA	NA	NA	0.75	NA	NA	NA	1	NA	NA	0.75	0	0
Olfr906	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	0.25	1	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.75	0	0
Aldh18a1	0.25	0	0	0	0.75	0	1	1	0.75	0.25	0.75	0	0	0.5	0.5	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.75	0.25	0.5	0	1	0.25	0.25	1	0.25	0.25	1	0.25	0	1	0	0.25	0.5	0	0.25	0.25	0.5	0.5	0	0	0.25	0	0
Sobp	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0.5	0	0.5	0	0.25	0	0	0	0
Ccpg1os	0	0	0	0.75	0	0	0	0	0	NA	1	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.25	0	0	0
Ngly1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
Gm16907	1	1	0.75	0.75	1	1	NA	1	NA	0.75	1	0	0.75	0	0	0	NA	NA	0	0.5	0	0	0.25	NA	0.25	0.25	1	NA	NA	0.5	0.5	0	NA	0.75	0.5	0.5	1	0.5	1	1	1	1	NA	1	0.75	1	0.75	1	0.75
Szt2	0	0.25	0.25	0	0	0	0.25	NA	NA	0	NA	0	0.25	0	NA	0	0	1	0.25	0	0	0.25	0.75	1	0	0.25	0.25	0	1	0.25	0.5	0	0	0.25	0.25	1	1	1	0.25	0.25	0	0.25	0.5	0	0.25	1	0.25	0.25	0.25
9430041J12Rik	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	NA	NA	0	1	NA	0	NA	NA	0.25	NA	NA	0	0	0	NA	NA	0.5	0	NA	NA	0.5	0	0.25	0.5	0	0
Cutal	NA	0	0	0	0	0	NA	0	0	NA	NA	0.25	0.25	NA	NA	NA	NA	0.5	NA	NA	0	0	NA	0	0.5	0.25	0.75	0.25	0.25	0.25	0.5	0	1	0.5	1	1	0.75	0.25	0	1	0	0.25	0.25	1	1	0.75	0.5	0	0
Rfxap	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	NA	0.75	0.25	0	0.25	0	0	0.25	0.5	0	0	0	0.25	0.5	0.25	0.25	0	0.25	0	0
C030013G03Rik	NA	0	0	NA	0	NA	NA	1	NA	NA	NA	NA	0.25	0.25	NA	1	0.25	NA	1	NA	NA	0.25	NA	0	NA	0.25	0.5	1	0.5	1	0.75	1	NA	1	0.75	0.75	1	NA	0.75	1	0	1	NA	NA	1	1	0.75	0.5	0.25
Tslp	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	NA	0.25	0	0.25	0	NA	0.5	0	NA	0	0.5	0.25	1	0.75	0.25	1	NA	0.5	0	NA	0	NA	1	NA	0.5	0.5	0.25	0.5	1	0.75	0.75	1	0.5	0	0
4930520P13Rik	0	0	0	0	NA	0	NA	0	0.25	0	NA	NA	0	0	0	0.25	0.75	0	0	0.5	0	0.5	0	0	0.5	0.25	0.75	1	NA	0.5	0.25	NA	0.5	0	0.25	0.5	1	0.5	1	0.5	0.5	0.5	NA	NA	0.75	0.5	0.5	0	0
Ints12	0.25	0.25	0	0	0	0	0.25	0	0	0	1	0.25	0	0	0.25	0.5	0	0.75	0.5	0	0.5	0	0	0.75	0.5	0	0	0.25	0.75	0	0.25	0	0.75	0.25	0	0	0	0.25	0	0	0.75	0	0.25	0.5	0.75	0	0	0.25	0
Ints10	0	0.25	0.25	0	0	0	NA	0	0	0	0.25	1	0.25	0	0.5	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	NA	0	0.5	0	NA	0	0	0.25	0	1	0	0	NA	0	NA	NA	0.25	0	0	0.25	0
Taf6l	0	0.25	0.25	NA	0	0.75	NA	0	0.5	NA	0	0	0.25	NA	0	0.75	0.25	1	0.25	0	0.75	0	0.5	NA	0	0	NA	NA	0.25	0.5	1	0.25	0	1	0	0.25	0.25	0.5	0.5	0	1	0.5	0.5	1	0.25	1	0.25	0.25	0
Creld2	0	0	0	0	0	0	0	0	0	0.25	0.25	0.5	0.25	0	0	0.25	0.25	0.5	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0	0	0.25	0	1	0	0.25	0	0.25	0.25	NA	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25
Creld1	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.75	0	0.25	0	0	0.25	0	0.25	0	0	NA	0	0	0	0	0.75	0	0.25	0	0.25	0	0	0	0	1	0	0	0	0.25	0	0.5	0.25	0	0.25	0	0
Glycam1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.5	NA	1
Zfp566	0	0	0	NA	NA	0	NA	0.75	0	0	NA	0	0.25	0	0.25	0	0	0	NA	NA	0	1	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0.25	0.25	NA	0	0.25	NA	0.25	0	0	0.25	0.25	0.25	0	0
Zfp560	0	0	0.25	0.25	0	0.25	0.75	0.5	0.25	0.25	0.25	0	0	0.75	0.25	0.75	0.5	0.5	0.25	0.5	0	0.25	0.5	0	0.25	0.25	0.25	0.25	0.5	0.25	0.75	0.5	0.5	0.5	1	0.75	0.25	0.25	0.5	0.25	0.5	0.25	0.75	0.25	0.5	0.25	0.5	0	0.25
Zfp563	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0.25	NA	0	0	0	0	0	NA	0	0	NA	0	0.25	NA	1	0	0.25	0	0	0.5	1	NA	NA	0.25	NA	0	NA	NA	0.25	0	0.25	0	0
Fam71e1	0.25	0.25	0.25	NA	0	0	0	0	0.25	NA	0.5	0.25	0.25	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0.25	0	0.5	0	0	0	1	NA	0	0	0.25	0	0.5	0	0	0	0.25	0	0.25
Fam71e2	0	0	0	0	0.25	0.25	0	NA	0.25	0	0	NA	0	NA	0.25	0.5	0.25	0.5	NA	1	0.25	1	0	0	NA	0.25	0.5	0.75	0.75	1	0.75	0	1	0.75	0.5	1	1	1	0.75	0.25	0.75	0.75	NA	0.75	0.5	1	0.75	0	0
Zfp568	0	0	0	0	0	0	0.5	0.5	0	0	0.25	0	0.25	0	1	0	0	0	0	0	0	0.5	0	0.25	0.5	0	0	0.25	0.25	0	0.5	0	0	0.5	0	0.5	0	0.5	0.25	0	0	0	0	0	0	1	0	0	0
Tcaim	NA	0	0.25	0	0.25	0	0	0	0.25	0.5	1	0	0.25	0	0	0.75	0.25	0.25	0.25	1	0.5	0	0	0	0	0	0	0	0.75	0	1	0	0.5	0.25	0.25	1	0.25	0.75	0.25	0	0.25	0	0.5	0.75	1	0	0.25	0	0.25
Kncn	0.5	0.25	0.5	1	0.25	0.5	0	NA	0	0	0	0.75	0.5	NA	1	1	0.5	0.5	0	0.5	0	0.25	0.25	0.25	0.75	0.5	1	0.5	0.5	0.75	1	0.5	1	NA	1	1	1	0.5	NA	0.75	0.75	0.75	0.75	1	0.75	0.75	0.75	0.25	0.5
Syap1	0	0	0.25	NA	0	0	0	0	0	NA	NA	0	0	0	NA	0.5	0	0	0	NA	0	0	0	0	NA	0.25	0	NA	NA	0.25	0.75	0.25	0.25	0.5	0	NA	0	NA	0.25	NA	0	NA	0.75	1	0	0	0.25	0.25	0
Ccr1l1	1	1	0.75	1	1	NA	NA	NA	NA	0	0.75	0.75	1	0.5	0	0.75	0.5	0	0.5	NA	0.5	0.25	0	0.25	NA	0.25	0.75	0	0	0	0	0.5	0.5	0.5	0.75	0	1	0.75	0.75	0.25	0.75	0.25	0.5	0	0	0.75	0.75	1	1
Pias2	0	0	0.25	NA	0.25	0	0.75	0	0	0	0.25	0	0	0.25	0.75	0.25	0	0.25	0.25	0.25	0.25	0	0.5	NA	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0.25	0.5	0.25	0	0.75	0.25	0.25	0	0.25	0	0	0	0.25
Pias3	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.5	NA	0	0	0	0.25	0	0.25	0.5	0	1	0.5	0	0	0	0	0	0	NA	0	0	0.25	0.25	0	0	0	0
Tsga10	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.5	0	0.25	0.5	0	0.25	0.5	0	1	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.5	0.25	0	0	0.25	0	0
Pias1	0	0	0	0	0	0	0.75	0	0	NA	NA	0	0	0	NA	0.25	0	0	0.5	0.25	0.5	0	0	0.75	NA	0	0	0	0	0	0.25	0	0.25	0.5	0	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0
Pias4	0	0.25	0	0	0	0.25	0	0.25	0	0	NA	0	0.25	0	0.75	NA	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.5	0	0.25	0.25	0.25	0	0	0	0
Hipk3	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0	0	0	0	0.5	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0.5	0	0.25	0.25	0	0	0
Pcnp	0	0	0	0	0	0	0	0	0.25	0	NA	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1	0.25	0	0	0	NA	0	0	0	0	0.5	0.25	0	0	0	0.5	0	0	0.25	0	0	0
Tk2	0.5	0.25	0	NA	0.25	NA	NA	0.25	0	0	NA	0.75	0.25	0	0	0	NA	0.25	0	0.5	0	0	NA	0	NA	0	0.25	0.25	0.25	1	0	0	0.25	1	0.25	0.25	0	NA	0.5	0	0.25	0	0.5	1	0	0	0.25	0	0.25
Tk1	0.25	0	0.25	0.25	0.25	0.5	NA	0	0	1	NA	0.25	0.25	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0.5	0	0.5	0.5	NA	0	0.25	0.5	0.5	0.25	0	1	1	0.5	NA	0	0.5	1	0.25	0	0.25	0.25	0.25
1700007F19Rik	0	0	0	0	0	0.25	NA	0.25	0	0	0.5	0.5	0	NA	NA	0.5	0.75	NA	0	0.5	0	0.25	NA	0	1	0.25	1	NA	0	0.5	0.25	0	0.5	0.5	0.5	1	1	1	NA	0.75	0	0.5	0.25	1	1	1	0.75	0	0
Ppp4c	0	0.25	0.25	NA	0	0.25	NA	0	0	0	0.5	0.25	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	1	NA	0.75	0	0.25	0	NA	0.25	0	0.25	0	0	0	0	0.5	0	0.25	0.25	0.5	0	0	0.25	0.25
Loh12cr1	0.5	0.25	0.25	0	0	0.25	0.5	0	NA	0	0.75	0	0.5	0	0	0.25	0	0	0.25	0	0	0.25	NA	NA	0	0	0.25	0	1	0	0.5	0	0.5	1	0	0	0	0	0.75	0	0	NA	0	0.25	0.5	0	0.25	0.25	0.25
Clec9a	0.5	0	NA	0.5	NA	0	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	0	NA	0.5	0	0	NA	NA	0.75	NA	0	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0.5	0.5	0.5
Gm6559	NA	0	0	NA	0	0.25	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0.25	0	NA	0.5	0	NA	0	0	0.5	NA	0	0.25	0	0	0.25	1	NA	0.5	0.75	1	NA	0.25	0.5	0.25	1	0.5	0	0.25	0.25	0	0
H1fnt	0	0	0	0	0	0	0	0	0.25	0	0	0.5	0.25	0.75	NA	1	0.75	0.75	0.5	0.75	0.25	0.75	0.5	0.75	0	0.5	1	NA	1	NA	NA	1	0.75	1	0.75	0.75	0.75	1	0.75	0.75	1	0.75	1	1	NA	1	0.75	0	0
Cnbp	0	0	0	0	0	0	NA	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0
Tkt	1	0.25	0.75	1	0	1	0.25	0	0.5	1	0	0.75	0.5	0	0.25	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.25	0	0	0	0.25	0	0	0.5	0.25	0	0.25	0.5	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25
Epha5	0	0	0	0	0	0	0.25	0	0.25	0	0	0.5	0	0.25	0.25	0.25	0.5	0	0.5	0.5	0.5	0.25	0.25	0.25	0	0	0.25	0.5	0.25	0.5	0	0	0.25	0.25	0	0.25	0.25	0.5	0.25	0	0.5	0.75	0.5	0.25	0.5	0.5	0.25	0	0
Gm3002	NA	NA	0	NA	0	NA	NA	NA	0.5	NA	NA	NA	0.25	NA	0	0.75	NA	0.25	NA	0.5	NA	0	NA	0	NA	0.25	0.5	NA	0	1	NA	0.5	NA	0.5	0.5	0.5	NA	NA	NA	0.75	NA	1	1	NA	1	NA	0.5	0	0.25
Apool	NA	0	0.5	NA	0	0	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	0	0	NA	NA	0.25	NA	NA	0	0	NA	NA	0.25	0	NA	0	NA	NA	NA	NA	0.25	0	0
Lmo7	0	0	0	NA	0	0	0	0	0.25	0.75	0	0	0	0	0.25	0	0	0	0.5	0	0.75	0.25	0.25	0.25	1	0	0.5	0	0	0	0	0	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0	1	0.25	0	0	1	0	0.25	0	0
Lage3	0	0.25	0.25	1	0	0	0	0.5	NA	0.25	0	NA	0.25	0.25	NA	NA	0	0.25	0.75	0.5	0	0.25	0.5	NA	NA	0	0.25	0.5	NA	0.5	0	0	0.25	0	0	0	0.5	NA	0.5	NA	NA	0.75	0	0	0.25	0.5	0.25	0.25	0.25
Olfr178	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1
Nckap1	0	0	0	0	0	0	0.25	0	0.75	0.75	0	0.5	0	0.5	0.75	0.25	0.25	0.5	0	0	0	0.25	0.5	0	0.25	0	0.75	0.25	0.25	0.25	0.75	0	0.75	0.25	0.25	0	0.25	0.5	0.25	0	0.5	0.5	0.5	0.25	0.25	0.25	0	0	0
Ndel1	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0.25
Olfr170	NA	1	NA	NA	1	0	NA	NA	NA	0	NA	1	0.5	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	0.25	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.75	1	0
Olfr171	0	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	0	1	NA	0.5	NA	NA	NA	NA	1	0.5	1	1	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
Olfr172	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	0.75	1	1
Olfr173	NA	0	NA	NA	0.5	NA	NA	NA	NA	0	0	0	0	NA	0.25	NA	0.25	0.5	NA	NA	1	0	0	0	0.25	0.5	1	NA	0	NA	NA	0	1	1	NA	NA	0.5	NA	NA	NA	NA	1	NA	NA	NA	NA	0.75	0	0.5
Eef1d	NA	NA	1	NA	NA	NA	NA	NA	0.5	NA	NA	NA	1	0.25	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	0	NA	NA	NA	1	NA	0	1	0.5	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.75	NA	0
Olfr177	NA	NA	0.5	NA	0	0.5	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0.25	NA	NA	NA	NA	0.75	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.5	NA	0.25
Pgf	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0.75	0	0.25	0	0.75	0	0	0.25	0	0	0.25	0.5	0.5	0.25	0.5	0.25	0	0.5	0.25	0.25	0.5	0.25	0.25	0.25	0.5	0.5	0.75	1	0.75	0.25	0.75	0.5	0	0
5133400J02Rik	0	0	0	0	0	0	0	0.5	NA	NA	0	NA	0.25	NA	0	0	0	0	0	0	NA	0	0	NA	0	0	1	0	NA	0	NA	0	0.5	0.5	0	0.25	NA	NA	0.5	0	NA	0	NA	0.25	0	0.25	0.25	0	0
Magt1	NA	0.25	0	NA	0	0	NA	0	NA	NA	NA	0	0	0	NA	NA	0	0.25	0	NA	NA	0	0	NA	NA	0	0	NA	NA	0	NA	0	0	0	0.5	0.25	0.5	0.5	0	0	0.5	0	NA	0.25	NA	0	0	0	0
Sestd1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.75	0	0	0	0.25	0	NA	0.25	0	0.75	0	0	0	0.25	0	0.5	0.25	0.25	0	0	0.75	0.25	0	0.75	0	0	0	0.5	0.25	0	0	0
A530099J19Rik	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.25	NA	NA	NA	1	0.5	0	1	NA	0	NA	NA	1	0.25	NA	NA	1	1	NA	0.25	0.75	NA	0.75	NA	1	NA	1	0.75	NA	NA	1	NA	1	NA	0.75	0	0
Rabggtb	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.5	NA	NA	0.75	0	0
Gm7788	1	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	0.5	0	NA	0.25	0	0	NA	0	NA	NA	NA	0	0.25	0.25	1	NA	0.5	0.5	NA	0	NA	1	1	0.75	1	NA	0.5	NA	NA	1	NA	1	NA	NA	0.75	0	0.75
Dok1	0.25	0	0	0	0	0	NA	0	NA	0	0	NA	0	NA	NA	0	0	0	NA	0.25	0	0	NA	NA	NA	0	1	1	NA	NA	0.75	NA	NA	0.75	0.25	0.75	1	1	0	NA	0	0.75	1	NA	NA	NA	0.5	0	0
4933411G11Rik	NA	0	0	NA	NA	0.25	NA	NA	NA	NA	NA	NA	0.5	0.75	0	NA	0	NA	NA	0	0	NA	0	NA	NA	0.25	0.25	NA	NA	0.5	NA	NA	NA	NA	NA	1	NA	0.5	NA	0	NA	0.25	0.75	0	1	NA	0.5	0	0.25
Mycn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycl	0	0	0	0	0	0	0	NA	0	0.25	0	0	0	0	0	0	0.5	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0.25	0.5	0	0	0
Ydjc	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.5	0	0	0	0	0	0
Mycs	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.75	NA	NA	0	0	0	0	0.25	NA	0	0.75	NA	0.25	NA	0.25	NA	0	1	NA	0.75	0	NA	0.25	NA	0.25	NA	0	0.25	NA	0.25	0.25	0	0
Phykpl	0	0	0.25	0	0.25	0	NA	0	0.25	NA	0.5	0	0	0	0.25	0.5	0	1	0	0	0	0	0	0	0	0	0.5	0	NA	0.25	0.75	0	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0.25	0.5	1	0.5	0.25	0	0.25
Gm2663	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0	0.75
Pawr	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.75	0.25	0	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19466	1	1	1	NA	1	1	NA	NA	NA	1	1	1	1	0.75	0.25	NA	0.25	0	0	NA	NA	0.25	NA	NA	NA	0.25	1	1	0.25	0	0	0	NA	0.5	NA	0.25	0.25	NA	NA	0.75	1	0.5	NA	0.5	NA	NA	0.5	1	1
Cyp4f18	0	0	0	1	0	0	0	0	0	0	0.75	0.5	0.25	1	0.25	1	0.25	0.5	0.25	0.25	0	0	0.25	0	0.5	0.25	1	0.5	0.5	0.75	0.5	0	0.5	0.75	0	0.75	1	0.75	0.5	0.5	0	0.5	0	0.75	0.5	0.5	0.5	0	0
4930563D23Rik	0.25	0	0	0.25	0	0.25	0.5	0.5	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.75	0	0.5	0	0.5	0.5	0.25	1	0.25	1	1	0.5	1	1	0.25	0.75	0.5	0.5	0.75	0.25	0.75	NA	0.5	NA	0.5	0.75	0.5	0.5	0.5	0.75	0	0
Gm19461	0	0.25	0.25	0.5	0.75	0	0.25	0.75	0.5	0.25	NA	0.75	0.5	0.5	0.25	0.25	0.25	0.5	0	0	0	0.25	0.25	0	0	0.25	1	1	0.5	0.75	1	0.25	1	1	0.5	0.75	1	0.5	0.5	1	0.75	0.75	1	1	0.5	0.75	0.75	0.25	0.25
Cyp4f13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	NA	NA	1	0	0.5	NA	0.25	0.25	0.25	0	0.75	0.5	0.5	0.75	NA	0	NA	0.25	0	0.25	0.25	0.5	NA	0.5	0.5	0	0
Cyp4f16	0	0	0	NA	0	0.25	NA	0	0.25	0	NA	0	0	0.25	NA	0.25	0	0	0	0.5	0	0	0	0	0.5	0.25	0.5	0.5	0.25	NA	NA	0.25	NA	NA	0.75	0	0	0.5	0.75	0.25	NA	0.5	0	0.5	0.5	NA	0.75	0	0
Cyp4f17	0	0.25	0.25	0.75	0.25	0.25	NA	NA	0	0	0	0.25	0.25	0	NA	0	0.25	0.5	0	0	0	0.25	0	NA	0	0	0.75	0	0.75	0.5	0	0	0.25	NA	0.25	0.5	NA	0.5	0.25	0	0.5	0	0.25	0	0.25	0.25	0.25	0	0
Wbp11	0	0	0	0	0.25	0	NA	0.25	0.25	0	NA	0	0.25	0	NA	NA	0	NA	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	NA	0	0.25	0	0	0	0.75	0	0	0	0	0.5	0	0	0	0	0	0.25
Cyp4f15	0	0	0	NA	NA	NA	0	NA	NA	NA	0	NA	0	0	0.5	0.5	0.5	NA	0.25	1	0.5	0	NA	0.25	0.5	0.25	0.75	NA	NA	0.75	0.75	1	NA	1	0.75	1	1	1	0.25	NA	1	NA	NA	1	0	NA	0.75	0	0.25
Gm4846	1	0.75	0.75	NA	0	0.5	NA	NA	0.5	NA	1	NA	0.75	NA	0.25	0.75	0.5	NA	NA	1	NA	0	0	NA	NA	0.25	0.25	1	0.75	NA	1	0	1	NA	0.5	1	1	NA	0.5	NA	NA	0.5	1	NA	NA	NA	0.75	0.75	1
Gm4847	NA	0.25	0	NA	0	0	NA	0	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	0.25	1	NA	NA	1	0	0	NA	1	NA	1	NA	NA	NA	NA	0	NA	1	0.75	1	1	0.75	0.25	0.25
Gm8179	NA	0	0	NA	0	NA	NA	NA	NA	NA	0	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.25	NA	1	0	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0	0
Gm4841	NA	0.5	1	NA	0	0	NA	NA	NA	NA	NA	0	0.25	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.25	1	0
Mfn2	0.25	0.25	0	0.25	1	0	1	0	NA	0	0	0.25	0.25	0	0.5	1	0	0.25	0	0.25	0	0	0.5	NA	0	0	0	NA	0.25	0.5	0	0.25	NA	0.75	0	1	0.75	NA	0.25	0.25	0.25	0.25	0.25	0	0.25	0.5	0.25	0.25	0.75
Mfn1	0	0	0	0	0	0	0	0	0	0	NA	0.5	0	0	1	0.5	0	0.25	0.25	0	0	0	0.5	NA	0	0	1	0.5	0.25	0	NA	0	1	0.25	0	0.75	0.25	0.5	0	0	0	0.25	0.75	1	0.5	0.5	0.25	0	0
Bzw1	0	0	0	0	0.25	0	0	0	0.25	0	0.5	NA	0	0.5	0.25	0.25	0	0	0.5	0.25	0.25	0.25	0.5	0	0	0	0.25	0.25	0.25	0	0	0	0.5	0.5	0	0.25	0.25	0.25	0	0.25	0	0	0	0.5	0.25	0.25	0	0	0.25
